GEOID,NAME,total_population_universe,total_population_universe_M,federal_poverty_limit_universe_allraces,federal_poverty_limit_universe_allraces_M,federal_poverty_limit_below_allraces,federal_poverty_limit_below_allraces_M,federal_poverty_limit_below_allraces_percent,federal_poverty_limit_below_allraces_percent_M
001000101,Census Tract 1.01; District of Columbia; District of Columbia,1262,167,1262,167,22,18,1.74,1.41
001000102,Census Tract 1.02; District of Columbia; District of Columbia,2981,456,2981,456,149,138,5,4.57
001000201,Census Tract 2.01; District of Columbia; District of Columbia,3229,38,61,4,61,4,100,0
001000202,Census Tract 2.02; District of Columbia; District of Columbia,4068,572,3244,571,443,173,13.66,4.76
001000300,Census Tract 3; District of Columbia; District of Columbia,5988,746,5988,746,281,143,4.69,2.32
001000400,Census Tract 4; District of Columbia; District of Columbia,1755,315,1755,315,275,146,15.67,7.83
001000501,Census Tract 5.01; District of Columbia; District of Columbia,3610,500,3591,500,242,247,6.74,6.81
001000502,Census Tract 5.02; District of Columbia; District of Columbia,3605,556,3605,556,263,194,7.3,5.26
001000600,Census Tract 6; District of Columbia; District of Columbia,4416,511,4342,511,144,125,3.32,2.85
001000702,Census Tract 7.02; District of Columbia; District of Columbia,3258,437,3258,437,294,159,9.02,4.73
001000703,Census Tract 7.03; District of Columbia; District of Columbia,2788,378,2788,378,100,109,3.59,3.88
001000704,Census Tract 7.04; District of Columbia; District of Columbia,2627,358,2627,358,234,136,8.91,5.03
001000802,Census Tract 8.02; District of Columbia; District of Columbia,3011,439,3011,439,298,204,9.9,6.62
001000803,Census Tract 8.03; District of Columbia; District of Columbia,2777,356,2488,355,453,306,18.21,12.02
001000804,Census Tract 8.04; District of Columbia; District of Columbia,3827,642,3303,642,80,49,2.42,1.41
001000902,Census Tract 9.02; District of Columbia; District of Columbia,2161,407,2161,407,83,60,3.84,2.68
001000903,Census Tract 9.03; District of Columbia; District of Columbia,3578,174,1123,164,106,86,9.44,7.53
001000904,Census Tract 9.04; District of Columbia; District of Columbia,3123,458,3123,458,194,142,6.21,4.45
001001002,Census Tract 10.02; District of Columbia; District of Columbia,3588,643,3588,643,552,279,15.38,7.27
001001003,Census Tract 10.03; District of Columbia; District of Columbia,2994,550,2917,443,131,102,4.49,3.43
001001004,Census Tract 10.04; District of Columbia; District of Columbia,3938,451,3757,452,390,165,10.38,4.21
001001100,Census Tract 11; District of Columbia; District of Columbia,5002,706,4835,706,357,268,7.38,5.44
001001200,Census Tract 12; District of Columbia; District of Columbia,4882,556,4882,556,507,302,10.39,6.07
001001301,Census Tract 13.01; District of Columbia; District of Columbia,4042,533,3994,534,534,444,13.37,10.97
001001303,Census Tract 13.03; District of Columbia; District of Columbia,3718,502,3718,502,248,183,6.67,4.84
001001304,Census Tract 13.04; District of Columbia; District of Columbia,3823,596,3823,596,40,41,1.05,1.06
001001401,Census Tract 14.01; District of Columbia; District of Columbia,3278,494,3278,494,153,81,4.67,2.37
001001402,Census Tract 14.02; District of Columbia; District of Columbia,3521,450,3485,450,88,64,2.53,1.81
001001500,Census Tract 15; District of Columbia; District of Columbia,5607,810,5459,810,66,55,1.21,0.99
001001600,Census Tract 16; District of Columbia; District of Columbia,4889,555,4810,566,175,77,3.64,1.54
001001702,Census Tract 17.02; District of Columbia; District of Columbia,3417,492,3407,491,107,73,3.14,2.09
001001803,Census Tract 18.03; District of Columbia; District of Columbia,3758,658,3758,658,856,417,22.78,10.35
001001804,Census Tract 18.04; District of Columbia; District of Columbia,5454,1102,5454,1102,1411,792,25.87,13.55
