state,year_code,births,status
District of Columbia,1995,9014,final
District of Columbia,1996,8390,final
District of Columbia,1997,7927,final
District of Columbia,1998,7686,final
District of Columbia,1999,7522,final
District of Columbia,2000,7666,final
District of Columbia,2001,7625,final
District of Columbia,2002,7498,final
District of Columbia,2003,7619,final
District of Columbia,2004,7933,final
District of Columbia,2005,7971,final
District of Columbia,2006,8523,final
District of Columbia,2007,8864,final
District of Columbia,2008,9130,final
District of Columbia,2009,9040,final
District of Columbia,2010,9165,final
District of Columbia,2011,9295,final
District of Columbia,2012,9399,final
District of Columbia,2013,9288,final
District of Columbia,2014,9509,final
District of Columbia,2015,9578,final
District of Columbia,2016,9858,final
District of Columbia,2017,9560,final
District of Columbia,2018,9212,final
District of Columbia,2019,9079,final
District of Columbia,2020,8874,final
District of Columbia,2021,8660,final
District of Columbia,2022,8075,final
District of Columbia,2023,7896,final
District of Columbia,2024,7616,final
District of Columbia,2025,7303,provisional
