NAME,year,value
District of Columbia,1990,605321
District of Columbia,1991,600870
District of Columbia,1992,597565
District of Columbia,1993,595301
District of Columbia,1994,589239
District of Columbia,1995,580517
District of Columbia,1996,572377
District of Columbia,1997,567736
District of Columbia,1998,565230
District of Columbia,1999,570213
District of Columbia,2000,572046
District of Columbia,2001,574504
District of Columbia,2002,573158
District of Columbia,2003,568502
District of Columbia,2004,567754
District of Columbia,2005,567136
District of Columbia,2006,570681
District of Columbia,2007,574404
District of Columbia,2008,580236
District of Columbia,2009,592228
District of Columbia,2010,604718
District of Columbia,2011,617465
District of Columbia,2012,630643
District of Columbia,2013,644203
District of Columbia,2014,653986
District of Columbia,2015,665135
District of Columbia,2016,673428
District of Columbia,2017,680670
District of Columbia,2018,685476
District of Columbia,2019,687320
District of Columbia,2020,670917
District of Columbia,2021,669256
District of Columbia,2022,676725
District of Columbia,2023,687324
District of Columbia,2024,702250
